Player,Team,Pos,Injury,Status,Est. Return
Kyle Hurt,LAD,P,Elbow,60-Day IL,Subscribers Only
Shota Imanaga,CHC,P,Hamstring,15-Day IL,Subscribers Only
Jojo Ingrassia,BOS,P,Undisclosed,7-Day IL,Subscribers Only
Drey Jameson,ARI,P,Elbow,7-Day IL,Subscribers Only
Cristian Javier,HOU,P,Elbow,60-Day IL,Subscribers Only
Eloy Jimenez,TB,DH,Achilles,7-Day IL,Subscribers Only
Joe Jimenez,ATL,P,Knee,60-Day IL,Subscribers Only
Jackson Jobe,DET,P,Elbow,60-Day IL,Subscribers Only
Jared Johnson,ATH,P,Undisclosed,60-Day IL,Subscribers Only
Jared Jones,PIT,P,Elbow,60-Day IL,Subscribers Only
Kyle Jones,MIN,P,Undisclosed,60-Day IL,Subscribers Only
Ben Joyce,LAA,P,Shoulder,60-Day IL,Subscribers Only
Hayden Juenger,TOR,P,Undisclosed,7-Day IL,Subscribers Only
Jace Kaminska,COL,P,Undisclosed,60-Day IL,Subscribers Only
Josh Kasevich,TOR,SS,Back,60-Day IL,Subscribers Only
Luke Keaschall,MIN,2B,Forearm,60-Day IL,Subscribers Only
Owen Kellington,PIT,P,Undisclosed,60-Day IL,Subscribers Only
Joe Kelly,FA,P,Shoulder,Out,Subscribers Only
Michael Kennedy,CLE,P,Knee,7-Day IL,Subscribers Only
Barrett Kent,LAA,P,Undisclosed,60-Day IL,Subscribers Only
Ray Kerr,ATL,P,Elbow,60-Day IL,Subscribers Only
Caleb Kilian,CHC,P,Undisclosed,60-Day IL,Subscribers Only
Ha-Seong Kim,TB,SS,Shoulder,60-Day IL,Subscribers Only
Michael King,SD,P,Shoulder,15-Day IL,Subscribers Only
Josh Knoth,MIL,P,Elbow,Out,Subscribers Only
Lucas Knowles,WSH,P,Undisclosed,60-Day IL,Subscribers Only
Tanner Kohlhepp,DET,P,Elbow,60-Day IL,Subscribers Only
Mark Kolozsvary,BOS,C,Undisclosed,7-Day IL,Subscribers Only
Max Kranick,NYM,P,Elbow,15-Day IL,Subscribers Only
Cade Kuehler,ATL,P,Elbow,60-Day IL,Subscribers Only
Asa Lacy,KC,P,Elbow,7-Day IL,Subscribers Only
Dane Lais,SD,P,Undisclosed,60-Day IL,Subscribers Only
Henry Lalane,NYY,P,Shoulder,60-Day IL,Subscribers Only
Jimmy Lambert,FA,P,Shoulder,Out,Subscribers Only
Alex Lange,DET,P,Lat,60-Day IL,Subscribers Only
Justin Lange,NYY,P,Shoulder,60-Day IL,Subscribers Only
Shea Langeliers,ATH,C,Oblique,10-Day IL,Subscribers Only
L.P. Langevin,KC,P,Lat,60-Day IL,Subscribers Only
Cesar Lares,MIN,P,Undisclosed,60-Day IL,Subscribers Only
Kyle Larsen,TEX,P,Undisclosed,60-Day IL,Subscribers Only
Blake Larson,CWS,P,Elbow,60-Day IL,Subscribers Only
Nate Lavender,TB,P,Elbow,60-Day IL,Subscribers Only
Derek Law,WSH,P,Forearm,15-Day IL,Subscribers Only
Jordan Lawlar,ARI,SS,Hamstring,Day-To-Day,Subscribers Only
Justin Lawrence,PIT,P,Elbow,60-Day IL,Subscribers Only
Jose Leclerc,ATH,P,Lat,60-Day IL,Subscribers Only
Pedro Leon,HOU,OF,Knee,60-Day IL,Subscribers Only
Royce Lewis,MIN,3B,Hamstring,10-Day IL,Subscribers Only
Andrew Lindsey,TB,P,Undisclosed,60-Day IL,Subscribers Only
Kellon Lindsey,LAD,SS,Undisclosed,7-Day IL,Subscribers Only
Ben Lively,CLE,P,Elbow,60-Day IL,Subscribers Only
Victor Lizarraga,SD,P,Undisclosed,Day-To-Day,Subscribers Only
Jonathan Loaisiga,NYY,P,Undisclosed,Day-To-Day,Subscribers Only
Nick Lockhart,TEX,P,Undisclosed,60-Day IL,Subscribers Only
Carter Loewen,SD,P,Undisclosed,7-Day IL,Subscribers Only
Reynaldo Lopez,ATL,P,Shoulder,60-Day IL,Subscribers Only
Pablo Lopez,MIN,P,Shoulder,60-Day IL,Subscribers Only
Kiefer Lord,BAL,P,Elbow,60-Day IL,Subscribers Only
Quinton Low,MIL,1B,Undisclosed,60-Day IL,Subscribers Only
Rhett Lowder,CIN,P,Forearm,60-Day IL,Subscribers Only
Easton Lucas,TOR,P,Undisclosed,7-Day IL,Subscribers Only
Jordan Luplow,FA,OF,Knee,Out,Subscribers Only
Ty Madden,DET,P,Shoulder,60-Day IL,Subscribers Only
Nick Madrigal,NYM,2B,Shoulder,60-Day IL,Subscribers Only
Tyler Mahle,TEX,P,Shoulder,15-Day IL,Subscribers Only
Sean Manaea,NYM,P,Oblique,60-Day IL,Subscribers Only
Alek Manoah,TOR,P,Elbow,60-Day IL,Subscribers Only
Yander Maria,CHC,P,Undisclosed,7-Day IL,Subscribers Only
Cade Marlowe,SEA,OF,Undisclosed,60-Day IL,Subscribers Only
Alec Marsh,KC,P,Shoulder,60-Day IL,Subscribers Only
Shane Marshall,CHC,P,Undisclosed,60-Day IL,Subscribers Only
Noelvi Marte,CIN,3B,Oblique,10-Day IL,Subscribers Only
Jose Marte,NYM,P,Shoulder,60-Day IL,Subscribers Only
Curley Martha,TEX,SS,Undisclosed,60-Day IL,Subscribers Only
Austin Martin,MIN,OF,Hamstring,7-Day IL,Subscribers Only
Davis Martin,CWS,P,Forearm,15-Day IL,Subscribers Only
Rodolfo Martinez,BAL,P,Undisclosed,7-Day IL,Subscribers Only
Justin Martinez,ARI,P,Elbow,60-Day IL,Subscribers Only
Maximo Martinez,CWS,P,Undisclosed,60-Day IL,Subscribers Only
Michael Massey,KC,2B,Ankle,10-Day IL,Subscribers Only
Michael Massey,DET,P,Undisclosed,60-Day IL,Subscribers Only
Jorge Mateo,BAL,2B,Elbow,10-Day IL,Subscribers Only
Carlos Mateo,KC,P,Undisclosed,60-Day IL,Subscribers Only
Zebby Matthews,MIN,P,Shoulder,15-Day IL,Subscribers Only
Tyler Mattison,DET,P,Elbow,7-Day IL,Subscribers Only
Aiden May,MIA,P,Elbow,60-Day IL,Subscribers Only
Tim Mayza,PIT,P,Shoulder,60-Day IL,Subscribers Only
James McArthur,KC,P,Elbow,60-Day IL,Subscribers Only
Shane McClanahan,TB,P,Triceps,60-Day IL,Subscribers Only
Chas McCormick,HOU,OF,Oblique,10-Day IL,Subscribers Only
Mason McCoy,SD,SS,Finger,10-Day IL,Subscribers Only
Lance McCullers,HOU,P,Foot,15-Day IL,Subscribers Only
Brody McCullough,CHC,P,Forearm,60-Day IL,Subscribers Only
Christian McGowan,PHI,P,Elbow,60-Day IL,Subscribers Only
Brendan McKay,FA,P,Elbow,Out,Subscribers Only
Chris McMahon,COL,P,Undisclosed,60-Day IL,Subscribers Only
Garrett McMillan,PIT,P,Undisclosed,7-Day IL,Subscribers Only
John Means,CLE,P,Elbow,60-Day IL,Subscribers Only
Luis Medina,ATH,P,Elbow,60-Day IL,Subscribers Only
Tylor Megill,NYM,P,Elbow,15-Day IL,Subscribers Only
Cristofer Melendez,PIT,P,Undisclosed,60-Day IL,Subscribers Only
Jacob Melton,HOU,OF,Ankle,10-Day IL,Subscribers Only
Ismael Mena,CHC,OF,Undisclosed,7-Day IL,Subscribers Only
Cristian Mena,ARI,P,Shoulder,60-Day IL,Subscribers Only
Jordarlin Mendoza,NYY,P,Undisclosed,60-Day IL,Subscribers Only
Matt Merrill,DET,P,Undisclosed,7-Day IL,Subscribers Only
Max Meyer,MIA,P,Hip,15-Day IL,Subscribers Only
Noble Meyer,MIA,P,Undisclosed,7-Day IL,Subscribers Only
Keynan Middleton,FA,P,Forearm,Out,Subscribers Only
Spencer Miles,SF,P,Back,60-Day IL,Subscribers Only
Wade Miley,CIN,P,Forearm,15-Day IL,Subscribers Only
Bryce Miller,SEA,P,Elbow,15-Day IL,Subscribers Only
Tyler Miller,BOS,1B,Undisclosed,7-Day IL,Subscribers Only
Cole Miller,ATH,P,Elbow,60-Day IL,Subscribers Only
Jake Miller,DET,P,Undisclosed,7-Day IL,Subscribers Only
A.J. Minter,NYM,P,Lat,60-Day IL,Subscribers Only
Garrett Mitchell,MIL,OF,Shoulder,10-Day IL,Subscribers Only
Blake Mitchell,KC,C,Wrist,7-Day IL,Subscribers Only
Casey Mize,DET,P,Leg,Day-To-Day,Subscribers Only
Yoan Moncada,LAA,3B,Knee,10-Day IL,Subscribers Only
Yordanny Monegro,BOS,P,Elbow,7-Day IL,Subscribers Only
Joseph Montalvo,DET,P,Undisclosed,7-Day IL,Subscribers Only
Bryce Montes de Oca,NYM,P,Elbow,60-Day IL,Subscribers Only
Christian Montes De Oca,ARI,P,Back,60-Day IL,Subscribers Only
Jordan Montgomery,ARI,P,Elbow,60-Day IL,Subscribers Only
Carson Montgomery,SD,P,Undisclosed,60-Day IL,Subscribers Only
Gabriel Moreno,ARI,C,Hand,10-Day IL,Subscribers Only
Koen Moreno,CHC,P,Undisclosed,60-Day IL,Subscribers Only
Keeler Morfe,BAL,P,Finger,7-Day IL,Subscribers Only
Eli Morgan,CHC,P,Elbow,60-Day IL,Subscribers Only
Andrew Morris,MIN,P,Forearm,7-Day IL,Subscribers Only
Ryan Mountcastle,BAL,1B,Hamstring,60-Day IL,Subscribers Only
Zander Mueth,PIT,P,Undisclosed,7-Day IL,Subscribers Only
Tom Murphy,SF,C,Back,60-Day IL,Subscribers Only
Chris Murphy,BOS,P,Elbow,60-Day IL,Subscribers Only
Ryan Murphy,SF,P,Undisclosed,60-Day IL,Subscribers Only
Owen Murphy,ATL,P,Elbow,60-Day IL,Subscribers Only
Chandler Murphy,TB,P,Undisclosed,7-Day IL,Subscribers Only
Joe Musgrove,SD,P,Elbow,60-Day IL,Subscribers Only
Andrew Nardi,MIA,P,Back,60-Day IL,Subscribers Only
Nick Nastrini,CWS,P,Undisclosed,7-Day IL,Subscribers Only
Packy Naughton,STL,P,Elbow,60-Day IL,Subscribers Only
Edgar Navarro,FA,P,Elbow,60-Day IL,Subscribers Only
Josh Naylor,ARI,1B,Shoulder,Day-To-Day,Subscribers Only
Zach Neto,LAA,SS,Shoulder,Day-To-Day,Subscribers Only
Kevin Newman,LAA,SS,Personal,Paternity,Subscribers Only
Jackson Nezuh,HOU,P,Undisclosed,7-Day IL,Subscribers Only
Aaron Nola,PHI,P,Ribs,60-Day IL,Subscribers Only
Connor O'Halloran,TOR,P,Undisclosed,7-Day IL,Subscribers Only
Tyler O'Neill,BAL,OF,Shoulder,10-Day IL,Subscribers Only
Dylan O'Rae,MIL,SS,Undisclosed,60-Day IL,Subscribers Only
Shinnosuke Ogasawara,WSH,P,Oblique,7-Day IL,Subscribers Only
Reese Olson,DET,P,Finger,15-Day IL,Subscribers Only
Emmett Olson,MIA,P,Undisclosed,7-Day IL,Subscribers Only
Steven Ondina,BAL,SS,Undisclosed,7-Day IL,Subscribers Only
